symbol,source_price,change_24h,timestamp
OP,.30,5.80,2026-01-21T00:06:26Z
WFLR,.01,4.30,2026-01-21T00:06:26Z
CRV,.37,5.10,2026-01-21T00:06:26Z
STX,.30,6.80,2026-01-21T00:06:26Z
FET,.23,6.70,2026-01-21T00:06:26Z
CHZ,.05,9.90,2026-01-21T00:06:26Z
TBTC,87964.17,5.20,2026-01-21T00:06:26Z
CTM,.12,7.00,2026-01-21T00:06:26Z
FDUSD,1.00,.00,2026-01-21T00:06:26Z
GHO,1.00,.10,2026-01-21T00:06:26Z
TUSD,1.00,.10,2026-01-21T00:06:26Z
JTRSY,1.09,.00,2026-01-21T00:06:26Z
KHYPE,21.45,10.60,2026-01-21T00:06:26Z
FTN,1.09,.00,2026-01-21T00:06:26Z
GTETH,2943.00,7.60,2026-01-21T00:06:26Z
INJ,4.51,6.50,2026-01-21T00:06:26Z
LDO,.52,6.40,2026-01-21T00:06:26Z
MSOL,170.01,5.80,2026-01-21T00:06:26Z
CUSD,.99,.80,2026-01-21T00:06:26Z
ETHFI,.61,6.20,2026-01-21T00:06:26Z
AERO,.46,6.50,2026-01-21T00:06:26Z
AB,.00,1.90,2026-01-21T00:06:26Z
LIT,1.64,1.40,2026-01-21T00:06:26Z
ETHX,3175.01,7.80,2026-01-21T00:06:26Z
FLOKI,.00,6.20,2026-01-21T00:06:26Z
CBETH,3293.50,7.80,2026-01-21T00:06:26Z
USDB,1.00,.30,2026-01-21T00:06:26Z
SBTC,89030.38,4.50,2026-01-21T00:06:26Z
SPX,.44,10.70,2026-01-21T00:06:26Z
TIA,.46,6.60,2026-01-21T00:06:26Z
STRK,.08,5.90,2026-01-21T00:06:26Z
BTT,.06,.50,2026-01-21T00:06:26Z
SUN,.02,3.20,2026-01-21T00:06:26Z
GRT,.04,6.30,2026-01-21T00:06:26Z
SYRUP,.33,7.40,2026-01-21T00:06:26Z
WAPE,.19,5.70,2026-01-21T00:06:26Z
USR,1.00,.00,2026-01-21T00:06:26Z
JST,.04,1.90,2026-01-21T00:06:26Z
SAND,.14,1.70,2026-01-21T00:06:26Z
DCR,21.31,8.70,2026-01-21T00:06:26Z
ZRO,1.81,2.20,2026-01-21T00:06:26Z
KAU,153.53,2.10,2026-01-21T00:06:26Z
BSV,18.17,4.80,2026-01-21T00:06:26Z
EURC,1.17,.70,2026-01-21T00:06:26Z
CFX,.07,6.80,2026-01-21T00:06:26Z
GNO,135.76,5.50,2026-01-21T00:06:26Z
TWT,.86,7.60,2026-01-21T00:06:26Z
KAG,94.65,.70,2026-01-21T00:06:26Z
AXS,2.13,25.60,2026-01-21T00:06:26Z
IOTA,.08,2.60,2026-01-21T00:06:26Z
NFT,.06,.30,2026-01-21T00:06:26Z
JASMY,.01,8.50,2026-01-21T00:06:26Z
OHM,20.86,1.80,2026-01-21T00:06:26Z
ENS,8.95,6.60,2026-01-21T00:06:26Z
EETH,2966.39,6.40,2026-01-21T00:06:26Z
WIF,.33,6.20,2026-01-21T00:06:26Z
PYTH,.06,7.00,2026-01-21T00:06:26Z
TEL,.00,8.30,2026-01-21T00:06:26Z
UDS,2.49,1.00,2026-01-21T00:06:26Z
BUSD,.99,.80,2026-01-21T00:06:26Z
WSTX,.30,6.60,2026-01-21T00:06:26Z
USX,1.00,.00,2026-01-21T00:06:26Z
KAIA,.05,6.70,2026-01-21T00:06:26Z
GALA,.01,5.70,2026-01-21T00:06:26Z
THETA,.29,8.30,2026-01-21T00:06:26Z
SAVAX,15.08,4.70,2026-01-21T00:06:26Z
MANA,.15,4.50,2026-01-21T00:06:26Z
UBTC,87488.89,5.50,2026-01-21T00:06:26Z
BAT,.19,7.00,2026-01-21T00:06:26Z
